Team,Players,Overseas,Retained players salary cap,Deduction Amount,Funds  Remaining
Chennai Super Kings,4,1,420000000,420000000,480000000
Delhi Capitals,4,1,390000000,425000000,475000000
Gujarat Titans,3,1,380000000,380000000,520000000
Kolkata Knight Riders,4,2,340000000,420000000,480000000
Lucknow Super Giants,3,1,302000000,310000000,590000000
Mumbai Indians,4,1,420000000,420000000,480000000
Punjab Super Kings,2,0,160000000,180000000,720000000
Rajasthan Royals,3,1,280000000,280000000,620000000
Royal Challengers Bangalore ,3,1,330000000,330000000,570000000
Sunrisers Hyderabad,3,1,220000000,220000000,680000000
