S.No.,Name,Country,Playing Role,IPL Matches,Capped / Uncapped ,IPL 2022 Team,Auction Price,Lacs AucPrice,IPL 2021 Team,Previous IPL Team(s)
1,Shikhar Dhawan,India,Batter,192,Capped,Punjab Kings,82500000,825,DC,"MI, DCH, SRH, DC"
2,Ravichandran Ashwin,India,All Rounder,167,Capped,Rajasthan Royals,50000000,500,DC,"CSK, RPS, PBKS, DC"
3,Pat Cummins,Australia,All Rounder,37,Capped,Kolkata Knight Riders,72500000,725,KKR,"DC, MI, KKR"
4,Kagiso Rabada,South Africa,Bowler,50,Capped,Punjab Kings,92500000,925,DC,DC
5,Trent Boult,New Zealand,Bowler,62,Capped,Rajasthan Royals,80000000,800,MI,"SRH, KKR, DC, MI"
6,Shreyas Iyer,India,Batter,87,Capped,Kolkata Knight Riders,122500000,1225,DC,DC
7,Mohammed Shami,India,Bowler,77,Capped,Gujarat Titans,62500000,625,PBKS,"KKR, DC, PBKS"
8,Faf du Plessis,South Africa,Batter,100,Capped,Royal Challengers Bangalore,70000000,700,CSK,"CSK, RPS"
9,Quinton de Kock,South Africa,Wicket Keeper Batter,77,Capped,Lucknow Super Giants,67500000,675,MI,"SRH, DC, RCB, MI"
10,David Warner,Australia,Batter,150,Capped,Delhi Capitals,62500000,625,SRH,"DC, SRH"
11,Manish Pandey,India,Batter,154,Capped,Lucknow Super Giants,46000000,460,SRH,"MI, RCB, PWI, KKR, SRH"
12,Shimron Hetmyer,West Indies,Batter,31,Capped,Rajasthan Royals,85000000,850,DC,"RCB, DC"
13,Robin Uthappa,India,Batter,193,Capped,Chennai Super Kings,20000000,200,CSK,"MI, RCB, PWI, KKR, RR, CSK"
14,Jason Roy,England,Batter,13,Capped,Gujarat Titans,20000000,200,SRH,"GL, DC, SRH"
15,Devdutt Padikkal,India,Batter,29,Capped,Rajasthan Royals,77500000,775,RCB,RCB
16,Dwayne Bravo,West Indies,All Rounder,151,Capped,Chennai Super Kings,44000000,440,CSK,"MI, GL, CSK"
17,Nitish Rana,India,All Rounder,77,Capped,Kolkata Knight Riders,80000000,800,KKR,"MI, KKR"
18,Jason Holder,West Indies,All Rounder,26,Capped,Lucknow Super Giants,87500000,875,SRH,"CSK, KKR, SRH"
19,Harshal Patel,India,All Rounder,63,Capped,Royal Challengers Bangalore,107500000,1075,RCB,"MI, DC, RCB"
20,Deepak Hooda,India,All Rounder,80,Capped,Lucknow Super Giants,57500000,575,PBKS,"RR, SRH, PBKS"
21,Wanindu Hasaranga,Sri Lanka,All Rounder,2,Capped,Royal Challengers Bangalore,107500000,1075,RCB,RCB
22,Washington Sundar,India,All Rounder,42,Capped,Sunrisers Hyderabad,87500000,875,RCB,"RPS, RCB"
23,Krunal Pandya,India,All Rounder,84,Capped,Lucknow Super Giants,82500000,825,MI,MI
24,Mitchell Marsh,Australia,All Rounder,21,Capped,Delhi Capitals,65000000,650,SRH,"DCH, PWI, RPS, SRH"
25,Ambati Rayudu,India,Wicket Keeper Batter,175,Capped,Chennai Super Kings,67500000,675,CSK,"MI, CSK"
26,Ishan Kishan,India,Wicket Keeper Batter,61,Capped,Mumbai Indians,152500000,1525,MI,"GL, MI"
27,Jonny Bairstow,England,Wicket Keeper Batter,28,Capped,Punjab Kings,67500000,675,SRH,SRH
28,Dinesh Karthik,India,Wicket Keeper Batter,213,Capped,Royal Challengers Bangalore,55000000,550,KKR,"DC, PBKS, MI, RCB, GL, KKR"
29,Nicholas Pooran,West Indies,Wicket Keeper Batter,33,Capped,Sunrisers Hyderabad,107500000,1075,PBKS,"MI, PBKS"
30,T. Natarajan,India,Bowler,24,Capped,Sunrisers Hyderabad,40000000,400,SRH,"PBKS, SRH"
31,Deepak Chahar,India,Bowler,63,Capped,Chennai Super Kings,140000000,1400,CSK,"RPS, CSK"
32,Prasidh Krishna,India,Bowler,34,Capped,Rajasthan Royals,100000000,1000,KKR,KKR
33,Lockie Ferguson,New Zealand,Bowler,22,Capped,Gujarat Titans,100000000,1000,KKR,"RPS, KKR"
34,Josh Hazlewood,Australia,Bowler,12,Capped,Royal Challengers Bangalore,77500000,775,CSK,"MI, CSK"
35,Mark Wood,England,Bowler,1,Capped,Lucknow Super Giants,75000000,750,,CSK
36,Bhuvneshwar Kumar,India,Bowler,132,Capped,Sunrisers Hyderabad,42000000,420,SRH,"RCB, PWI, SRH"
37,Shardul Thakur,India,Bowler,61,Capped,Delhi Capitals,107500000,1075,CSK,"PBKS, RPS, CSK"
38,Mustafizur Rahman,Bangladesh,Bowler,38,Capped,Delhi Capitals,20000000,200,RR,"SRH, MI, RR"
39,Kuldeep Yadav,India,Bowler,45,Capped,Delhi Capitals,20000000,200,KKR,"MI, KKR"
40,Rahul Chahar,India,Bowler,42,Capped,Punjab Kings,52500000,525,MI,"RPS, MI"
41,Yuzvendra Chahal,India,Bowler,114,Capped,Rajasthan Royals,65000000,650,RCB,"MI, RCB"
42,Priyam Garg,India,Batter,19,Uncapped,Sunrisers Hyderabad,2000000,20,SRH,SRH
43,Abhinav Manohar Sadarangani,India,Batter,,Uncapped,Gujarat Titans,26000000,260,,
44,Dewald Brevis,South Africa,Batter,,Uncapped,Mumbai Indians,30000000,300,,
45,Ashwin Hebbar,India,Batter,,Uncapped,Delhi Capitals,2000000,20,,
46,Rahul Tripathi,India,Batter,62,Uncapped,Sunrisers Hyderabad,85000000,850,KKR,"RPS, RR, KKR"
47,Riyan Parag,India,All Rounder,30,Uncapped,Rajasthan Royals,38000000,380,RR,RR
48,Abhishek Sharma,India,All Rounder,22,Uncapped,Sunrisers Hyderabad,65000000,650,SRH,"DC, SRH"
49,Sarfaraz Khan,India,All Rounder,40,Uncapped,Delhi Capitals,2000000,20,PBKS,"RCB, PBKS"
50,M. Shahrukh Khan,India,All Rounder,11,Uncapped,Punjab Kings,90000000,900,PBKS,PBKS
51,Shivam Mavi,India,All Rounder,26,Uncapped,Kolkata Knight Riders,72500000,725,KKR,KKR
52,Rahul Tewatia,India,All Rounder,48,Uncapped,Gujarat Titans,90000000,900,RR,"PBKS, DC, RR"
53,Kamlesh Nagarkoti,India,All Rounder,11,Uncapped,Delhi Capitals,11000000,110,KKR,KKR
54,Harpreet Brar,India,All Rounder,10,Uncapped,Punjab Kings,38000000,380,PBKS,PBKS
55,Shahbaz Ahmed,India,All Rounder,13,Uncapped,Royal Challengers Bangalore,24000000,240,RCB,RCB
56,K. S. Bharat,India,Wicket Keeper Batter,8,Uncapped,Delhi Capitals,20000000,200,RCB,"DC, RCB"
57,Anuj Rawat,India,Wicket Keeper Batter,2,Uncapped,Royal Challengers Bangalore,34000000,340,RR,RR
58,Prabhsimran Singh,India,Wicket Keeper Batter,5,Uncapped,Punjab Kings,6000000,60,PBKS,PBKS
59,Sheldon Jackson,India,Wicket Keeper Batter,4,Uncapped,Kolkata Knight Riders,6000000,60,KKR,"RCB, KKR"
